20
1	8
12	3
16	16
8	1
12	15
18	1
5	19
13	5
20	17
1	14
18	13
15	12
20	3
8	8
8	18
12	12
4	19
18	11
17	11
19	18
13	11
2	9
1	1
17	12
16	3
19	10
3	20
18	10
2	20
10	11
2	10
5	14
7	3
3	1
11	11
19	13
3	4
10	1
10	4
5	15
11	17
15	2
12	11
5	10
13	4
8	12
16	18
11	4
15	3
14	5
5	1
8	15
8	10
3	17
2	7
16	20
17	17
11	10
1	19
18	18
5	5
15	5
12	4
11	18
6	9
14	14
2	19
9	10
7	10
7	1
11	15
9	13
9	11
15	4
3	11
9	1
14	1
12	13
15	8
3	10
7	15
19	4
16	9
13	14
20	9
16	5
20	20
13	17
10	14
3	15
10	2
12	6
2	6
20	5
14	17
11	9
6	2
4	18
13	8
17	5
19	9
9	14
17	20
8	17
16	14
20	19
13	10
17	15
5	13
1	13
18	12
1	20
4	10
8	2
20	18
19	16
15	14
12	2
3	18
18	16
13	16
12	14
9	5
13	9
20	10
13	19
20	8
10	9
9	7
8	11
4	3
9	2
3	13
18	2
16	13
17	1
10	3
15	15
9	17
19	15
4	16
19	6
6	5
14	11
16	8
11	5
4	5
4	15
14	20
19	5
8	6
12	20
8	19
3	2
15	18
4	7
14	18
18	4
13	7
1	9
2	14
5	2
9	12
20	6
7	16
9	18
14	10
12	10
7	20
6	18
2	2
11	12
10	17
5	6
4	17
20	4
17	16
10	12
19	3
1	6
10	20
7	9
13	1
18	6
9	9
19	7
3	9
11	3
14	19
14	13
6	16
6	20
19	14
17	7
7	2
20	1
11	2
13	3
19	1
10	19
17	2
12	17
15	10
8	16
7	17
10	5
3	12
7	12
1	3
14	6
18	3
7	6
20	15
8	9
11	6
1	7
15	6
9	16
10	7
3	3
15	16
9	8
2	17
7	4
6	4
9	15
14	3
10	15
16	12
16	19
5	18
20	14
11	16
20	13
7	11
18	5
10	16
3	5
12	1
15	20
9	6
3	14
9	20
5	8
19	2
11	8
4	9
8	14
3	6
