20
13	13
20	11
9	13
4	16
10	18
3	17
16	9
12	10
1	10
14	13
2	1
18	17
3	19
3	20
9	3
7	11
11	8
20	4
19	17
9	8
9	10
15	4
10	2
6	13
17	11
19	4
9	11
7	2
17	1
8	11
10	13
17	4
19	10
4	13
14	2
12	5
11	13
11	6
5	16
5	15
18	9
14	19
12	18
16	18
9	2
6	5
15	5
18	2
17	3
1	11
16	15
8	12
7	9
10	10
2	7
15	9
8	17
15	8
2	11
12	8
2	20
6	11
4	8
14	8
20	5
5	11
6	14
16	20
4	4
6	12
14	15
1	13
10	16
7	7
15	1
5	4
4	10
13	3
19	12
7	15
9	20
11	7
6	2
19	13
15	7
18	12
3	2
10	9
13	19
11	11
12	15
13	10
11	16
20	18
14	20
2	19
14	17
14	7
13	8
12	13
11	18
15	18
2	6
5	20
16	14
3	5
1	14
12	19
20	1
16	1
11	14
16	11
18	19
20	17
14	16
1	5
3	8
11	20
17	13
7	14
19	19
1	17
3	4
14	9
3	1
10	8
1	3
13	12
1	15
16	17
18	4
17	14
12	9
3	11
3	16
8	14
17	5
16	4
1	4
11	10
14	14
6	8
6	9
2	8
9	19
19	11
15	20
4	20
13	11
8	15
2	9
15	12
13	15
5	6
11	15
19	15
4	6
7	12
4	17
8	5
8	8
5	2
13	2
18	6
18	7
20	19
12	3
8	7
3	18
15	11
10	12
4	18
18	16
6	10
4	7
12	12
6	18
9	18
1	7
12	1
19	6
20	16
16	7
12	2
2	3
7	1
19	18
1	6
14	11
6	20
9	12
20	20
5	17
15	16
10	14
5	18
3	12
8	13
18	18
10	5
11	19
3	13
8	18
20	7
20	9
9	14
4	5
15	2
14	3
2	10
1	18
7	17
18	3
17	18
17	16
16	2
16	8
13	6
12	4
10	11
5	12
17	9
14	12
10	7
9	5
4	11
9	4
9	7
8	16
1	20
1	19
1	2
16	10
13	7
6	4
8	20
17	10
14	6
5	10
12	6
17	19
11	12
15	19
